"NO";"NO2"
5.5;16.2
5.8;15.1
7.5;15.1
5.7;13.9
7.8;21
11;27.8
12;27.2
13.9;27.3
11.6;26
36.2;38.3
19.2;30.6
4.2;20.4
6.1;21.8
41.6;26.9
39.4;28.7
11.7;23.5
84.2;31.4
147;37.8
58.4;33.2
29.8;29.8
5.9;8.9
5.5;9
4;8.3
7.1;18.8
8.5;16.5
9.4;14.6
6.6;11.7
4.6;15.7
10.8;27.6
16.3;35.7
18.4;37
33.5;39.5
36.1;40.7
28;36.2
17.6;30.6
3;17.4
1.3;10.3
3.3;16.7
1.9;11.6
49.4;28.4
88.5;34.8
95.6;36.3
29.5;28.1
20.5;24.7
13.2;16.65
5.9;8.6
5;8.8
5.2;8.1
6.7;9.2
8.3;13.2
7.4;14.5
5.4;12.8
4.3;17.2
4;24.6
10.7;28.9
5.6;20.4
6.9;23.1
5.6;18.5
4.3;19.2
2.7;18.4
2.1;16.7
5.8;25.8
10;27.5
19;26
93.5;37
111.7;44.6
133.8;59.5
45.6;44.1
6.1;9.3
6.8;10.1
5.1;7.9
7.7;10
6.8;7.8
7.8;7.9
5.8;13.6
6.9;15.6
3.4;13.1
4.6;19.4
7.3;29.2
18.6;41.7
11.3;36.9
8.3;28.7
3.3;19
3.4;19.4
6.3;26.2
6.6;26.5
26.5;30.3
46.9;31.9
81.5;42.3
85.5;40.7
21.6;29.6
65.6;57.8
70.6;67.8
24.8;44.5
13.2;28.8
6.9;22.3
5.2;22
4.5;20.3
4.2;19.8
3.4;17.9
4.5;25.4
4.5;32.3
4.6;36.6
4.7;40.3
4.6;30
9.7;37.3
2.4;19.8
2.1;15.6
1.8;15.5
2.1;20.1
3.4;28.9
9;37.1
17.2;42.7
15.4;36.1
9;23
6.9;13.9
6.8;11.6
4.7;8.8
4.5;10.6
3.6;14.1
3.1;16.6
4.2;16.1
3.9;14.6
3.5;17.3
2.7;19.5
3.1;23.2
2.4;24.9
2.2;21
4.2;30.5
2.2;13
2;7
1.5;4.2
1.2;3.7
1;6.2
1.6;9.5
1.6;5.1
1.5;7.4
6.4;20.3
16;26.5
7.5;19
8.4;17.6
3.7;11.3
2.5;10.1
5.3;13.9
4.6;9.1
3.6;10.1
3.5;12.4
4.2;13.8
4;17
4.4;27.2
7.6;31.4
23.9;39.5
12.3;32.4
2.5;8
1.6;6.1
1.1;2.8
1;2.3
1.4;3.3
6;8.1
10.2;22.1
23;30.2
56.5;38.3
73.7;42.2
22.4;29.4
13.6;18.9
8.1;17.4
6.2;8.9
4.7;7.4
6.7;13.7
13.8;21.4
7.3;11.1
13.9;22.2
23.7;36.8
13.6;30
13.2;34.2
15.8;37.8
30;40.1
27.3;35.5
3.6;15.2
1.5;4.8
2;2.9
1.6;4.5
1.8;7.6
7.1;15.9
35.8;28.1
67.1;31.7
88.8;39.1
80.8;49.7
58.1;56.3
19.1;40.7
8.4;17.6
8.1;12.8
8.8;15
12.4;21.6
10.1;17.3
9.5;18.1
14.7;21.5
38.3;37.6
67.3;39.4
73.8;38
60.8;38.4
99.7;43.1
41.3;36.4
34.6;32.5
20.3;29.5
7.6;23.1
3.6;16.1
8.8;21.1
31.4;33.7
76.2;40.1
36.3;28.4
11.6;15.8
11.3;18
7.2;11.9
6.7;14.1
4.3;8.6
3.7;9.4
5.5;10.6
6;10.6
6.5;11.8
6.4;21.6
4.9;20.2
7.2;28
6;23.4
4.2;24
3.1;17.7
3.1;14.5
1.6;9
1.4;7.8
1.4;5.2
1.8;8.3
3.9;17
16;29
18.2;31.3
44.3;36.3
39.3;36
8.6;12.5
7.05;12.95
5.5;13.4
6;16.1
7.7;14.1
8.2;13.3
8.6;13.3
6.5;12.8
5.8;17.7
6.7;28.9
9.7;34.3
23.7;37.4
19.4;35.1
16.3;27.3
7.2;18.6
1.9;6.5
3.3;13.3
6.9;22
5.3;21
13.1;27
36;31.9
39;32.3
45.5;32.5
35.8;35.3
36.1;38.8
16.6;24.6
7.5;17.8
4.7;13.8
6;15.8
6.9;16.9
8.6;17.7
5.9;17
4.8;15.1
4.7;18.1
4.1;16.8
4.5;20.7
15.7;35.5
18;36.2
16.6;32.4
8.5;27.1
5.3;25.4
3.4;18.6
3.2;18
7.5;23.1
35;35.7
30.8;34.2
22.6;26.9
50;42
23.9;37.6
22.1;30.5
8.9;24.4
5.7;18.8
7.8;15.4
5.6;10.8
5;10.3
4.2;11.9
3.8;15.8
5.6;25.1
8.9;35.3
8.7;34.7
5.6;27.1
2.4;13.1
1.4;6.8
1;6.6
4.7;12.5
5.6;19.3
7.3;17.6
7.5;16.6
5;21.3
25;30.6
28.4;24.7
26;23
12.9;19.5
8.7;12.7
7.2;14
4.3;11.9
4.4;8.3
4.2;7.1
4;8.2
4.2;8
2.6;8.2
2.3;9.9
2.3;13
2.1;14
5.8;19.3
3.7;17.7
1.3;5
0.9;3.9
1.6;4.9
4.4;8.9
1.2;8.1
5.1;18.5
29.5;33.6
49.5;39
50.7;39.1
59.2;44.1
48.1;44.1
24.5;36.3
13.2;32.8
4.9;19.8
3.1;14.8
3.8;10.6
5.4;13.4
6.2;15.6
3.8;14.9
14.1;38.8
12.8;43.3
32.7;50.2
39.1;35.7
51.1;46.4
43.9;43.3
27.1;36.5
9;32
10.2;27.8
34.7;33.5
24.9;31.3
96.4;37
110;36.7
64.4;38.9
76.4;51.2
35;41
19;33.6
7.1;21.2
4.3;15.8
4.8;14.1
5.9;13.7
4.5;10.7
4.3;12.2
5.1;20.5
3.7;20.9
2.7;17.9
2.8;17.7
2.2;14.8
1.6;12.6
1.3;10.8
1.4;12.5
3.6;27.4
3.8;24.2
2.3;20.1
12;30.1
30.4;36.2
63.7;38.2
62;40.7
40;43.2
14.6;29
9.1;29
5.2;19.1
5;13.8
5.8;13.8
5.2;13.4
5.3;13.7
3.8;15.9
4.1;22.8
3;21.4
5.2;27.2
9.2;35.7
10.4;36.4
11.5;40.2
3.7;25.3
3.5;28.8
2.6;26.5
10.3;33.7
9.5;35.6
30.7;35.8
68.5;40.8
83.7;43.8
20.6;28.3
8.9;19
4.2;10
3.65;11.25
3.1;12.5
4.7;14.2
5.6;11
5.8;11.3
6.2;12.8
5;13.5
3.4;15.6
2.3;16
4.1;25.7
3.4;28.1
4.8;27.2
3.2;24.7
5.1;27
3.5;24.6
3.1;16.7
3;21.9
2.4;19.2
1.6;12.6
3;16.7
13.5;30.3
14.3;25.2
11.6;19
10.5;14.1
3.2;7.5
2.3;6.6
4.8;8.8
3.2;5.8
2.6;5.3
4.5;5.8
3.5;5.6
1.1;3.5
1.7;5.9
1.5;6.7
1.1;5.6
1.1;5.9
1.2;4.3
1.4;3.5
0.9;3.6
0.8;4.8
0.6;4.1
1;5.1
1;6.2
1.2;7
2.6;8.7
1.8;5.7
7.9;9.4
6.6;5.4
3.6;3.9
2.7;3.6
1.4;2.2
1.4;2.1
2;3.3
1.7;2.4
2;3.6
1.7;5.4
1.2;6
1.4;8.3
1.1;6.4
1.2;8
1.7;9
1.4;8.2
1.3;8
1.9;13.2
2.7;15
5.6;14.2
6.7;16.3
29.1;16.3
47.1;16.8
23.4;16.3
21.7;19.8
10.4;12.7
3.8;6.5
1.6;3.7
1.3;1.8
1.4;1.3
1.2;0.9
1.1;0.6
0.8;0.3
0.9;1
1.2;3.4
3.2;5.4
1.9;2.6
0.9;4.3
1.1;7.6
0.8;5.7
1.4;9.1
1.5;7.8
1.1;7.8
1.4;10.1
2;12.8
5.1;16.8
13.9;21.9
10;16.5
8.9;14.7
5;10.2
2.2;6.1
2.2;6.6
1.5;4.6
1.5;3.8
1.6;4
2.3;4.9
1.8;4.2
1.4;5.1
1.2;8.9
1.4;12.9
1.2;9.7
1.3;9
1.4;8.4
0.9;8.8
1;4.4
1.5;11.5
1.5;15.7
2.2;19.6
10.5;28.5
35.2;33.7
29;34.3
12.9;25.8
8.8;18
7;15.2
6.2;17.4
5;18.3
5.8;12.3
3.6;11.3
3;13.7
3.7;13.7
4.1;16.2
4.6;20.7
3.4;23.2
2.2;15.5
2.8;15.9
4.2;26.2
3.9;27.4
3.8;23.4
10;24.8
5.9;23.2
3;15.7
3.2;12.8
7.8;17.5
21.1;22.7
37;24.5
17.7;19.5
8.9;20.1
6.9;15.1
3.4;8.6
2.6;6.9
1.7;5.9
3.1;12.4
3.4;11.6
11;24.2
8.3;22
4.7;21.8
3.7;23.2
2.1;15.9
1.5;15.2
2.4;21.1
2.1;17.2
3.9;16
1.7;11.8
4.2;13.4
1.9;12.2
2.6;15.5
2.6;14.1
12.2;23.8
33.8;26.8
24;22.5
14.5;16.3
6.7;12.6
4.2;10.1
1.5;5.7
2.4;5.3
2.2;4.6
2.2;3.7
1.8;3.7
4;10.5
4.2;20
3.3;16.4
2.9;15
1.7;10.1
2;12
2.3;14.5
2.1;15.1
4.5;16.8
5.1;16.2
7.2;19
3;12.6
3.5;11.5
53.5;24.6
48.3;25.1
40.2;26
23.5;27.3
10.2;16.3
4.4;8.4
5.7;8.1
2.8;7.2
2.3;5.2
1.8;4.3
2.2;5.3
2.5;6.7
1.7;8.3
1.7;7.9
1.2;6.7
1.2;6.5
1.3;3.5
0.9;3.2
1.2;2.9
1;3.1
1.3;5.5
0.9;3.7
1;2
0.9;3.2
1.1;5.8
6.1;20.5
10.9;23.9
9.6;17.7
9.2;16.7
4.2;7.3
1.9;5
2.2;5.2
2;4.1
1.8;3.2
2.1;3.3
1.8;3.4
1.7;6.5
1.3;7.3
1.3;7.6
1.4;11.5
1.4;6.7
1.1;5.2
1;5
1.1;3.5
1.3;2.4
0.8;2.1
1.2;6.1
1.8;9.1
2.8;13.2
8.4;19.9
9.8;17.2
1.3;2.6
0.9;1.5
1;1.2
0.9;1.1
0.9;0.9
1.2;3
1.8;3
1.6;2
1.9;3.4
1.5;4.9
2.8;6.6
1.1;3.9
1.4;6.2
0.9;5.1
1.3;5.4
0.8;3.2
1;2.3
1;0.4
1.2;0.6
0.4;1.3
1.2;3.5
2;12.6
4;18.8
17.5;30
7.5;15.5
3.1;12.3
3.6;15.9
3.5;10.6
3.3;7.5
3.8;6.4
3.2;5.5
2.5;5.6
3.3;7.8
3.2;9.9
2.65;9.4
2.1;8.9
1.7;5.5
1.7;8.3
2;10.3
2.2;7.3
1.7;6.4
0.8;1.7
0.8;1.3
2;9
3.8;17.8
12;23.8
25;25.9
19.8;22.1
14.9;18.1
7.75;11.9
5.5;10.95
5.9;12.4
4.2;6.3
3.7;5.8
4.5;5
4.2;4.3
3.8;3.4
3.7;4.6
4.2;9.7
4.9;10.8
6.2;13.1
2.9;7.9
2.7;9.8
2.4;8.5
2.2;10.6
3.5;14.7
3.5;12.9
2.2;9.9
2.3;6.4
12.3;16.1
30;21.1
34.4;23.7
24.6;23
10.3;19.8
4.8;12
12.9;16.1
11;15.4
14.1;20
9.2;13.5
6;12.4
5.3;15.1
5.3;16.1
6;20.8
9.1;25.7
7.5;22.4
5.1;20.2
1.9;11.2
2.1;11
2.1;6.2
1.3;7.2
2.5;5.7
3.6;7.8
1.8;8.8
3.3;12.3
25.5;24.8
36;28.9
17.2;17.7
5.2;4.9
3.4;2.8
2.1;2
2.2;2.7
2.9;2.4
2.2;2.8
4.5;9.4
4.7;7.4
2.8;9.1
3.1;11.5
2.8;13.2
3.6;10.6
2.8;11.3
2.2;15.9
1.4;9.4
1.1;4.3
0.7;1.7
3.4;6.8
2.9;10.3
3.5;12.8
25;27.1
19.7;22.2
32.9;23.3
14.2;16.9
5.9;5.9
3.1;2.6
2.7;2.3
3.1;2.1
3.7;3.3
2.9;2.2
2.8;2.6
2.6;3.4
2.3;3.1
2.8;4.1
2.8;5.2
3.7;7.3
3.1;6.3
2.4;4.9
1.6;1.8
1.8;2.4
0.9;1.5
1.1;2.2
0.9;2.1
4.2;9.7
27.4;15.4
59.8;19
37.1;19.1
10.8;8.4
4.1;2.3
3.7;2.1
3.8;2.7
4;2.8
3.3;1.8
3.6;2.3
2.3;1.3
2.5;1.1
2.8;3
2.8;5.3
3.1;5.6
6.5;9.3
4.9;10.2
2.1;4.6
1.9;3.8
2.4;5.8
3.4;5
2.5;4.9
8.2;12.2
3.8;10.2
9.4;12.7
15.7;12.8
14.5;9.7
9.1;10
4.8;3.9
1;0.3
1.4;0.3
1.4;0.3
1.3;0.4
3.2;1.4
2.6;1.4
1.5;0.8
1.4;1.6
1.2;4.2
1.6;4.1
1.5;2.5
1.5;3.4
1;3
1.5;3.9
2.6;6.7
1.7;7.6
1.2;4.1
6.8;14.6
6.8;12.6
7.6;15.3
14.5;13.3
7.2;8.7
6.7;9.1
7.9;8
7;7.1
5;5
5.6;3.9
5.9;5.9
4.5;3.2
5.2;6.9
4.3;6
2.9;6.5
2.3;9
3.5;17.4
5.8;19.8
2.1;9.6
1.7;6.9
1.2;1.5
0.9;0.1
1.9;0.6
1.65;0.7
1.4;0.8
2.6;6
9.2;18.9
17.1;21.8
25.3;21.5
25.8;21
8.5;8.6
4.8;4.5
4.3;3.4
4.6;4
3.5;2.3
3.1;3.2
3.3;3.6
4.2;4.1
2.6;5
3.2;7
2.8;6.5
2.5;7
2.7;7.9
1.9;5.4
2.8;10.4
0.9;2.7
1.3;3.5
3.2;8.3
3.4;11
3.4;13
21.1;20
96.5;28.2
46.9;30.6
6;6.2
5.8;5.8
4.6;4.3
4.2;2.8
4.1;5.1
4.2;6.8
4.6;8.6
9.2;14.6
5.7;15.5
6.5;14.2
4.9;16.1
8.1;20.7
5;12.8
2.2;6.6
3.7;16.1
4.5;16.4
2.5;10.1
0.8;1.7
0.8;2.5
1.7;5.4
2.4;7.8
11.4;20.1
21.4;19.2
23.9;18.6
7.6;9
2.1;2.8
1.6;1.7
1.9;1.7
1.6;0.8
1.3;0.2
1.4;0.2
0.8;0.6
0.9;0.2
2;6
2.2;6.3
1.5;5.9
1.2;8
1.6;8.9
1.9;10.4
0.5;2.2
1.2;5.7
1.6;9.7
1.1;7.3
1.2;3.4
1.4;6
4.3;9.5
10.6;12.3
14.1;13.5
7.5;8.7
3.6;3.7
1.7;0.9
1.3;0
3.45;4.7
3.75;4.9
1.5;0
1.45;0.1
1.4;0.2
1.3;0.9
1.9;6.8
1.6;4.4
1.8;6.6
1.6;5.7
2.9;12.6
3.3;11.7
1.3;5.2
1.2;5.2
1.6;6.6
1.2;5.6
2.5;8.3
16.4;14.3
33.7;15.8
23.4;15.8
11;11.8
7.5;8.7
5.3;6.1
3.5;2.9
3;2.6
2.6;2.4
1.7;1.3
2.1;0.4
1.6;1.2
2.6;4
2.3;7.3
1.9;6.1
5.7;14.1
3.8;14.6
4.1;15.4
3.1;4.5
0.8;1
0.9;2.6
1.9;4
1.1;1.9
2.8;5.4
1.5;4.3
4.4;8.6
7;7.3
1.7;1.2
1.4;0.1
1.3;0.2
1.4;1.2
1.2;0.2
1.5;0.8
1.3;1.1
1.1;0.1
1.2;0.65
1.3;1.2
1.1;3
0.9;2.8
1.3;2.1
1.3;4.4
1.4;5.1
1.7;6.6
1.3;4.2
0.5;0.4
0.8;1.1
2.3;8.7
4.1;13.4
36.9;28.5
77.2;36.8
39.2;32
11.2;16.2
6.7;12.4
6.2;5.4
4.5;3.9
4.3;6.1
3.6;6.2
3.1;4.5
3.1;3.6
2.2;3.5
2.2;5.8
3.6;14.9
3.1;11.3
4.5;10.2
1.8;6.2
1.8;7.2
1.5;5.1
3.4;14.5
4.1;15.1
8.1;13.9
5.8;11.1
6;13.2
15.4;22.1
30.5;24
35.9;20.8
8.8;8.6
4.7;5.9
3.2;5.1
3;3.1
3.2;3.2
3.9;3.2
2.5;2.4
1.9;1.3
3.1;3.7
2.3;4.4
1.2;6
1.2;5.2
2.5;6.8
1.7;5.4
2.1;11.1
1.7;10.5
1.9;11.7
2.3;11.5
1.4;11.6
3;12.5
7.4;18.8
9.2;20.2
51.9;26.8
22.3;20.5
18.7;17.2
6.9;12.6
3.5;5.8
3.3;4.9
3.3;5.2
2.4;3.3
2.6;2.8
2.7;4.8
2.7;6.7
2.5;4.4
2.1;9.8
2.1;7.9
1.9;9.8
2.1;15
1.6;9.9
3.4;13.2
1.9;8.3
2;9.6
2.5;16.3
2.1;10.4
7.7;16.7
29.9;25.1
62;25.8
55.5;28.9
24.2;22.9
8.9;12.9
5.5;10.5
4.2;11.5
2.9;8.9
2.4;6.5
3.1;6.6
3;5.8
3.5;10.2
3.3;15.8
3.5;17.5
4.3;12.4
2.3;11.1
2;12.2
2.6;13.1
7.3;17
5.2;16.3
2.9;8.1
5.1;12.2
2;8.9
1.9;7.5
17.5;22.1
20.9;30.9
13.5;24.5
5.6;13.5
4.1;11.2
4.2;12
4.1;9.4
3.8;7.3
3.8;6.5
3.6;6.7
2.9;6.5
2.8;8.3
3.3;11.3
3.4;17.4
2.9;18.3
1.8;10.4
1.9;12.4
1.5;11.5
1.5;9.3
1.7;10.2
1.2;8.1
2;10.3
3;9.1
7.7;23.2
38.3;33.3
51;33.1
26.3;28.9
8.2;14.9
3.5;7.9
2.2;3.6
1.9;3.5
3.7;5.7
2.1;3.8
3.1;5.9
2.3;3.9
2;4.7
1.9;6.4
2.1;8.5
1.8;8.9
1.9;11.3
2.2;13.5
1.6;10.2
1.4;9.9
2.2;8.9
1.9;9.2
1.6;10.3
1.5;7.9
1.6;11
6.6;22.2
8.7;16.1
13.8;17.4
15.7;19.1
6.5;9.7
1.6;2.3
1.3;0.4
1.8;2.4
